WKT,id,OBJECTID,LSOA11CD,LSOA11NM,BNG_E,BNG_N,LONG_,LAT,Shape_Leng,Shape__Are,Shape__Len
"POLYGON ((-1.58458805652142 54.960780708638,-1.58366264785542 54.9580030444906,-1.58239021093966 54.9580691793512,-1.5811177740239 54.9555780995999,-1.58300715005033 54.9560189986709,-1.58381688263309 54.9548947060398,-1.58620752168694 54.9557103693212,-1.58524355432651 54.956503987649,-1.58640031515902 54.957143291302,-1.58751851729711 54.9564158078348,-1.58801978032453 54.9552253803431,-1.58925365854587 54.9553576500644,-1.59226123671039 54.9553576500644,-1.59330232145965 54.9545860766901,-1.59422773012566 54.9561292234387,-1.59596287137442 54.9563717179277,-1.59681116265159 54.9576282802802,-1.5952302561805 54.9583557637474,-1.59835351042827 54.9591493820752,-1.59816071695618 54.9602736747064,-1.59623278223534 54.9605161691954,-1.59530737356933 54.9595461912392,-1.59106591718347 54.9609350233129,-1.59010194982305 54.9602516297528,-1.58678590210319 54.9610672930342,-1.58458805652142 54.960780708638))",,"8099",E01008162,Gateshead 027A,"426405","562669",-1.5892,54.958,4534.92115735,480633.09727478,4534.92115735294
"POLYGON ((-1.59422773012566 54.9561292234387,-1.59584719529117 54.9552474252966,-1.59391926057032 54.952624075824,-1.59299385190431 54.9523815813349,-1.59071888893372 54.9526902106846,-1.59010194982305 54.9512572887038,-1.5934179975429 54.951345468518,-1.59511458009725 54.9514116033786,-1.5961556648465 54.9521611317994,-1.59738954306784 54.954982885854,-1.59974162342728 54.9542113124797,-1.60460001892381 54.9531531547092,-1.60552542758982 54.9550931106217,-1.60051279731562 54.9565260326026,-1.60105261903745 54.9577164600944,-1.59854630390035 54.9584439435616,-1.59835351042827 54.9591493820752,-1.5952302561805 54.9583557637474,-1.59681116265159 54.9576282802802,-1.59596287137442 54.9563717179277,-1.59422773012566 54.9561292234387))",,"8100",E01008163,Gateshead 028A,"425692","562364",-1.60036,54.9553,4161.11080013,294450.416534424,4161.11080012606
"POLYGON ((-1.5811177740239 54.9555780995999,-1.57676064155479 54.954541986783,-1.57764749152638 54.9524477161956,-1.57679920024921 54.9516100079606,-1.57718478719337 54.9505298052366,-1.57868857627563 54.9507282098185,-1.5783801067203 54.9525138510562,-1.58381688263309 54.9529106602201,-1.58551346518743 54.953704278548,-1.58848248465753 54.9539467730371,-1.5881740151022 54.9548065262256,-1.58925365854587 54.9553576500644,-1.58801978032453 54.9552253803431,-1.58751851729711 54.9564158078348,-1.58640031515902 54.957143291302,-1.58524355432651 54.956503987649,-1.58620752168694 54.9557103693212,-1.58381688263309 54.9548947060398,-1.58300715005033 54.9560189986709,-1.5811177740239 54.9555780995999))",,"8101",E01008164,Gateshead 027B,"426856","562213",-1.5822,54.9538,3136.91864707,220003.145462036,3136.91864707384
"POLYGON ((-1.58925365854587 54.9553576500644,-1.5881740151022 54.9548065262256,-1.58848248465753 54.9539467730371,-1.58551346518743 54.953704278548,-1.58381688263309 54.9529106602201,-1.5783801067203 54.9525138510562,-1.57868857627563 54.9507282098185,-1.58215885877316 54.9506179850508,-1.58674734340877 54.9507722997256,-1.59010194982305 54.9512572887038,-1.59071888893372 54.9526902106846,-1.59299385190431 54.9523815813349,-1.59391926057032 54.952624075824,-1.59584719529117 54.9552474252966,-1.59422773012566 54.9561292234387,-1.59330232145965 54.9545860766901,-1.59226123671039 54.9553576500644,-1.58925365854587 54.9553576500644))",,"8102",E01008165,Gateshead 011A,"426357","562155",-1.59,54.9534,3605.03940495,319343.503967285,3605.03940495241
"POLYGON ((-1.57903560452539 54.9637567773675,-1.57965254363606 54.9630292939003,-1.58235165224524 54.9602516297528,-1.58458805652142 54.960780708638,-1.58678590210319 54.9610672930342,-1.59010194982305 54.9602516297528,-1.59106591718347 54.9609350233129,-1.59530737356933 54.9595461912392,-1.59623278223534 54.9605161691954,-1.59816071695618 54.9602736747064,-1.59835351042827 54.9591493820752,-1.59854630390035 54.9584439435616,-1.60105261903745 54.9577164600944,-1.60209370378671 54.9593918765643,-1.60448434284056 54.9643079012063,-1.6050241645624 54.9651456094413,-1.60672074711674 54.9654983286981,-1.60791606664367 54.9664462617008,-1.60687498189441 54.9670194304931,-1.60305767114713 54.9683641726598,-1.5956929605135 54.9698191395942,-1.59229979540481 54.9699293643619,-1.5886367194352 54.9694002854767,-1.58655454993669 54.9683641726598,-1.58273723918941 54.9654321938374,-1.5804237175244 54.9641535865314,-1.57903560452539 54.9637567773675))",,"8103",E01008166,Gateshead 027C,"426244","563319",-1.59166,54.9638,5724.93259618,1442372.4276123,5724.93259617909
"POLYGON ((-1.60807030142133 54.9555340096928,-1.608687240532 54.9557544592283,-1.61146346653002 54.954541986783,-1.61200328825186 54.9531751996628,-1.61381554688945 54.9531311097557,-1.61204184694628 54.9552033353895,-1.61308293169553 54.9562394482064,-1.61146346653002 54.9575180555124,-1.61350707733412 54.9582896288867,-1.61080796872493 54.9598768655424,-1.60965120789243 54.9610893379878,-1.60726056883858 54.9604059444277,-1.60972832528126 54.9588407527255,-1.60849444705992 54.9576503252337,-1.60683642319999 54.9580912243048,-1.60610380800607 54.9561292234387,-1.60807030142133 54.9555340096928))",,"8104",E01008167,Gateshead 008A,"425076","562677",-1.60995,54.9581,3723.31053128,188544.257232666,3723.31053128234
"POLYGON ((-1.60105261903745 54.9577164600944,-1.60051279731562 54.9565260326026,-1.60552542758982 54.9550931106217,-1.60606524931165 54.9556662794141,-1.60807030142133 54.9555340096928,-1.60610380800607 54.9561292234387,-1.60683642319999 54.9580912243048,-1.60849444705992 54.9576503252337,-1.60972832528126 54.9588407527255,-1.60726056883858 54.9604059444277,-1.60965120789243 54.9610893379878,-1.61080796872493 54.9598768655424,-1.61350707733412 54.9582896288867,-1.61470239686104 54.959061202261,-1.61655321419306 54.9594580114249,-1.61512654249963 54.9606484389167,-1.61520365988846 54.962257720526,-1.61319860777878 54.9637126874604,-1.60999823614218 54.9656305984194,-1.60791606664367 54.9664462617008,-1.60672074711674 54.9654983286981,-1.6050241645624 54.9651456094413,-1.60448434284056 54.9643079012063,-1.60209370378671 54.9593918765643,-1.60105261903745 54.9577164600944))",,"8105",E01008168,Gateshead 027D,"425167","563284",-1.60848,54.9636,4982.46934557,628870.551528931,4982.4693455666
"POLYGON ((-1.60807030142133 54.9555340096928,-1.60606524931165 54.9556662794141,-1.60552542758982 54.9550931106217,-1.60460001892381 54.9531531547092,-1.60791606664367 54.95222726666,-1.60930417964267 54.9514997831928,-1.60849444705992 54.9531531547092,-1.60934273833709 54.9540129078977,-1.61200328825186 54.9531751996628,-1.61146346653002 54.954541986783,-1.608687240532 54.9557544592283,-1.60807030142133 54.9555340096928))",,"8106",E01008169,Gateshead 008B,"425174","562243",-1.60846,54.9542,2180.0072589,114393.487380981,2180.0072588999
"POLYGON ((-1.61350707733412 54.9582896288867,-1.61146346653002 54.9575180555124,-1.61308293169553 54.9562394482064,-1.61204184694628 54.9552033353895,-1.61381554688945 54.9531311097557,-1.61501086641638 54.9537263235015,-1.61605195116564 54.9520729519852,-1.61439392730571 54.9510809290754,-1.61497230772196 54.9496480070945,-1.61740150547023 54.9491850630699,-1.61878961846924 54.9510147942147,-1.61959935105199 54.953263379477,-1.61956079235758 54.9545640317365,-1.6180184445809 54.9575841903731,-1.61655321419306 54.9594580114249,-1.61470239686104 54.959061202261,-1.61350707733412 54.9582896288867))",,"8107",E01008170,Gateshead 008C,"424752","562418",-1.61503,54.9558,4021.99086888,340880.645736694,4021.99086888333
"POLYGON ((-1.60930417964267 54.9514997831928,-1.61497230772196 54.9496480070945,-1.61439392730571 54.9510809290754,-1.61605195116564 54.9520729519852,-1.61501086641638 54.9537263235015,-1.61381554688945 54.9531311097557,-1.61200328825186 54.9531751996628,-1.60934273833709 54.9540129078977,-1.60849444705992 54.9531531547092,-1.60930417964267 54.9514997831928))",,"8108",E01008171,Gateshead 008D,"424913","561978",-1.61256,54.9518,2099.60277396,120909.417327881,2099.60277396101
